Wall time,Step,Value
1733850195.2872007,1,23.11791229248047
1733851599.574626,2,16.69159507751465
1733853003.3135965,3,15.058883666992188
1733854404.1042972,4,13.845999717712402
1733855807.7826185,5,12.848097801208496
1733857212.7446303,6,12.005043983459473
1733858617.0117598,7,11.394819259643555
1733860019.9676533,8,11.010517120361328
1733861425.6746335,9,10.666162490844727
1733862829.207196,10,10.354011535644531
1733864236.1914148,11,10.068849563598633
1733865638.7536,12,9.840022087097168
1733867041.9428625,13,9.686728477478027
1733868446.4737835,14,9.54139518737793
1733869852.8624492,15,9.406881332397461
1733871261.0542996,16,9.273856163024902
1733872668.0826106,17,9.164732933044434
1733874074.0447512,18,9.088820457458496
1733875479.7119853,19,9.017897605895996
1733876883.2507653,20,8.94733715057373
1733878286.092016,21,8.876124382019043
1733879690.8450067,22,8.816496849060059
1733881098.659766,23,8.776083946228027
1733882503.3934464,24,8.73730182647705
1733883908.9505565,25,8.69982624053955
1733885317.3036764,26,8.661213874816895
