Wall time,Step,Value
1734808562.6691048,1,14.2855806350708
1734809960.9435754,2,9.011062622070312
1734811337.8487644,3,7.362821102142334
1734812716.7295783,4,6.57487678527832
1734814095.3649054,5,6.006998538970947
1734815469.7031312,6,5.661914348602295
1734816845.019677,7,5.357999324798584
1734818215.4473097,8,5.155088901519775
1734819594.8979902,9,4.9626946449279785
1734820971.1705663,10,4.826853275299072
